latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final,log_hyphal_density,location_id
46.99,7.46,99.43358612,1180.010986,232.4003754,16.99163437,40.83611298,62.03852463,200.0,924.0,510.5,4.402968884,7599.600098,0.794081271,4.0,6.234848485,1.9789094179153017,46.99_7.46
46.99,7.46,99.43358612,1180.010986,232.4003754,16.99163437,40.83611298,62.03852463,200.0,924.0,510.5,4.402968884,7599.600098,0.794081271,4.0,8.916666667,2.2942168433571424,46.99_7.46
46.99,7.46,99.43358612,1180.010986,232.4003754,16.99163437,40.83611298,62.03852463,200.0,924.0,510.5,4.402968884,7599.600098,0.794081271,4.0,12.51515152,2.603811390912328,46.99_7.46
41.15,122.58,96.5,727.0050049,287.5,99.19831848,22.57215309,72.29553986,200.0,504.0,5.0,0.235609725,3502.724854,0.73091656,4.0,4.434525547,1.6927722209025018,41.15_122.58
41.15,122.58,96.5,727.0050049,287.5,99.19831848,22.57215309,72.29553986,200.0,504.0,5.0,0.235609725,3502.724854,0.73091656,4.0,4.727737226,1.7453205532568765,41.15_122.58
41.15,122.58,96.5,727.0050049,287.5,99.19831848,22.57215309,72.29553986,200.0,504.0,5.0,0.235609725,3502.724854,0.73091656,4.0,5.570656934,1.8826138174521947,41.15_122.58
48.92,119.03,-1.516528964,333.2203674,250.4834747,105.4999924,27.52669334,72.82192993,200.0,597.0,722.0,0.304494977,2469.686523,0.099233575,8.0,4.321450382,1.6717458943927284,48.92_119.03
48.92,119.03,-1.516528964,333.2203674,250.4834747,105.4999924,27.52669334,72.82192993,200.0,597.0,722.0,0.304494977,2469.686523,0.099233575,8.0,4.340610687,1.675340007294822,48.92_119.03
48.92,119.03,-1.516528964,333.2203674,250.4834747,105.4999924,27.52669334,72.82192993,200.0,597.0,722.0,0.304494977,2469.686523,0.099233575,8.0,4.75259542,1.7496511303604332,48.92_119.03
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,2.02962963,1.1084403777266219,40.21_116.34
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,2.97037037,1.378859382539089,40.21_116.34
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,3.0,1.3862943611198906,40.21_116.34
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,3.622222222,1.5308755898829214,40.21_116.34
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,4.237037037,1.6557558874510712,40.21_116.34
40.21,116.34,128.4832764,523.7921143,311.4832764,114.3000183,9.949845314,78.7615509,200.0,889.0,59.5,0.730894268,2743.980469,0.845466077,4.0,5.125925926,1.8125299165973536,40.21_116.34
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,0.743801653,0.5560675879409368,29.97_113.68
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,1.140495868,0.7610375162109048,29.97_113.68
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,1.32231405,0.8425641239149406,29.97_113.68
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,1.694214876,0.9911068357576966,29.97_113.68
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,2.520661157,1.2586488006655872,29.97_113.68
29.97,113.68,175.5,1555.455078,320.5,48.00332642,21.30543518,67.82218933,200.0,332.0,27.0,0.432751656,4439.888184,0.282050669,4.0,3.380165289,1.4770864608909358,29.97_113.68
33.38,-116.62,132.3988037,455.0480652,307.3990784,77.49331665,19.63282013,66.41147614,139.0813293,1318.0,1456.0,6.781199455,4194.76416,0.068524912,12.0,6.64890625,2.034562663760499,33.38_-116.62
33.38,-116.62,132.3988037,455.0480652,307.3990784,77.49331665,19.63282013,66.41147614,139.0813293,1318.0,1456.0,6.781199455,4194.76416,0.068524912,12.0,6.687265625,2.0395651448629954,33.38_-116.62
33.38,-116.62,132.3988037,455.0480652,307.3990784,77.49331665,19.63282013,66.41147614,139.0813293,1318.0,1456.0,6.781199455,4194.76416,0.068524912,12.0,7.97875,2.194860674406874,33.38_-116.62
33.38,-116.62,132.3988037,455.0480652,307.3990784,77.49331665,19.63282013,66.41147614,139.0813293,1318.0,1456.0,6.781199455,4194.76416,0.068524912,12.0,14.83226563,2.762049986203982,33.38_-116.62
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,5.95,1.9387416595767009,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,6.014489796,1.9479779804746553,-35.67_174.27
-35.67,174.27,148.3162079,1467.285522,223.332901,19.20000076,86.71156311,51.63254166,194.0265198,1008.0,159.0,9.785198212,17167.82227,0.455742836,4.0,7.482959184,2.1380593493086586,-35.67_174.27
